Team,Nationality,Position,Age,Potential,Name
Lazio ,Serbia,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,25,Sobresaliente,Sergej Milinkovic-Savic
Real Betis ,France,Segundo Delantero | Mediocampista Derecho | Centrocampista Ofensivo Central,27,Muy Bueno,Nabil Fekir
Atlético Madrid ,Uruguay,Defensor Central,25,Muy Bueno,José María Giménez
FC Bayern München ,Germany,Defensor Central,24,Sobresaliente,Niklas Süle
Atlético Madrid ,Spain,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Mediocampista Central,25,Muy Bueno,Saúl
FC Bayern München ,Germany,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,25,Muy Bueno,Serge Gnabry
FC Barcelona ,France,Defensor Central,26,Muy Bueno,Samuel Umtiti
Real Madrid ,Spain,Defensor Lateral Derecho,28,Muy Bueno,Carvajal
Lazio ,Spain,Mediocampista Central | Centrocampista Ofensivo Central | Delantero Centro,27,Muy Bueno,Luis Alberto
Inter ,Netherlands,Defensor Central,28,Muy Bueno,Stefan de Vrij
SL Benfica ,Portugal,Mediocampista Derecho | Mediocampista Central,30,Muy Bueno,Pizzi
Real Madrid ,Spain,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Izquierdo,28,Muy Bueno,Isco
RC Celta ,Spain,Segundo Delantero | Extremo Derecho,32,Muy Bueno,Iago Aspas
Arsenal ,Germany,Arquero,28,Muy Bueno,Bernd Leno
FC Bayern München ,Germany,Mediocampista Derecho | Centrocampista Ofensivo Central | Extremo Derecho,30,Muy Bueno,Thomas Müller
FC Bayern München ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Izquierdo,28,Muy Bueno,Coutinho
Borussia Dortmund ,Switzerland,Arquero,29,Muy Bueno,Roman Bürki
Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,32,Muy Bueno,Paulinho
RB Leipzig ,Hungary,Arquero,30,Muy Bueno,Péter Gulácsi
Liverpool ,England,Mediocampista Defensivo Central | Mediocampista Central,30,Muy Bueno,Jordan Henderson
Liverpool ,Netherlands,Mediocampista Defensivo Central | Mediocampista Central,29,Muy Bueno,Georginio Wijnaldum
Borussia Dortmund ,Belgium,Mediocampista Defensivo Central | Mediocampista Central,31,Muy Bueno,Axel Witsel
Real Madrid ,Wales,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,31,Muy Bueno,Gareth Bale
Tottenham Hotspur ,Belgium,Defensor Lateral Izquierdo | Defensor Central,33,Muy Bueno,Jan Vertonghen
FC Barcelona ,Croatia,Mediocampista Central,32,Muy Bueno,Ivan Rakitic
Juventus ,Argentina,Segundo Delantero,32,Muy Bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensor Central | Mediocampista Defensivo Central,35,Muy Bueno,Fernandinho
Milan ,Sweden,Segundo Delantero,38,Muy Bueno,Zlatan Ibrahimovic
Bayer 04 Leverkusen ,Germany,Mediocampista Derecho | Centrocampista Ofensivo Central,21,Sobresaliente,Kai Havertz
Manchester United ,England,Segundo Delantero | Mediocampista Izquierdo,22,Muy Bueno,Marcus Rashford
Inter ,Argentina,Segundo Delantero,22,Sobresaliente,Lautaro Martínez
Leicester City ,Nigeria,Mediocampista Defensivo Central | Mediocampista Central,23,Muy Bueno,Wilfred Ndidi
FC Bayern München ,France,Defensor Lateral Izquierdo | Defensor Central,24,Muy Bueno,Lucas Hernández
FC Bayern München ,France,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,24,Muy Bueno,Kingsley Coman
FC Porto ,Brazil,Defensor Lateral Izquierdo,27,Muy Bueno,Alex Telles
Borussia Dortmund ,Germany,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,24,Muy Bueno,Julian Brandt
Leicester City ,Portugal,Defensor Lateral Derecho,26,Muy Bueno,Ricardo Pereira
Atlético Madrid ,Ghana,Mediocampista Defensivo Central | Mediocampista Central,27,Muy Bueno,Thomas Partey
FC Bayern München ,Germany,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,25,Muy Bueno,Leon Goretzka
Atlético Madrid ,Brazil,Defensor Central,31,Muy Bueno,Felipe
Chelsea ,Croatia,Mediocampista Central,26,Muy Bueno,Mateo Kovacic
Chelsea ,Italy,Mediocampista Defensivo Central | Mediocampista Central,28,Muy Bueno,Jorginho
Olympique Lyonnais ,Netherlands,Centrocampista Ofensivo Central | Delantero Centro | Extremo Izquierdo,26,Muy Bueno,Memphis Depay
Atalanta ,Slovenia,Segundo Delantero | Delantero Centro,32,Muy Bueno,Josip Ilicic
Napoli ,Brazil,Mediocampista Central,29,Muy Bueno,Allan
Lazio ,Italy,Defensor Central,32,Muy Bueno,Francesco Acerbi
Olympique Lyonnais ,Portugal,Arquero,29,Muy Bueno,Anthony Lopes
AS Monaco Football Club SA ,France,Segundo Delantero,29,Muy Bueno,Wissam Ben Yedder
Real Madrid ,Colombia,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,29,Muy Bueno,James Rodríguez
FC Barcelona ,Brazil,Arquero,31,Muy Bueno,Neto
Paris Saint-Germain ,Senegal,Mediocampista Defensivo Central | Mediocampista Central,30,Muy Bueno,Idrissa Gueye
Arsenal ,France,Segundo Delantero,29,Muy Bueno,Alexandre Lacazette
Napoli ,Greece,Defensor Central,29,Muy Bueno,Kostas Manolas
Juventus ,Brazil,Defensor Lateral Izquierdo | Mediocampista Izquierdo,29,Muy Bueno,Alex Sandro
Juventus ,Brazil,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,29,Muy Bueno,Douglas Costa
Real Betis ,Spain,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,29,Muy Bueno,Canales
Shanghai SIPG FC ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Izquierdo,28,Muy Bueno,Oscar
Manchester City ,Germany,Mediocampista Defensivo Central | Mediocampista Central,29,Muy Bueno,Ilkay Gündogan
Napoli ,Spain,Mediocampista Derecho | Extremo Derecho,33,Muy Bueno,José Callejón
Chelsea ,Spain,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Defensor Central,30,Muy Bueno,Azpilicueta
FC Barcelona ,Chile,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,33,Muy Bueno,Arturo Vidal
Roma ,Bosnia & Herzegovina,Segundo Delantero,34,Muy Bueno,Edin Dzeko
Sevilla FC ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,32,Muy Bueno,Éver Banega
Cagliari ,Belgium,Mediocampista Central | Centrocampista Ofensivo Central | Delantero Centro,32,Muy Bueno,Radja Nainggolan
Real Madrid ,Brazil,Defensor Lateral Izquierdo,32,Muy Bueno,Marcelo
Lazio ,Brazil,Mediocampista Defensivo Central,33,Muy Bueno,Lucas Leiva
Juventus ,France,Mediocampista Defensivo Central | Mediocampista Central,33,Muy Bueno,Blaise Matuidi
Torino ,Italy,Arquero,33,Muy Bueno,Salvatore Sirigu
Wolverhampton Wanderers ,Portugal,Mediocampista Central,33,Muy Bueno,João Moutinho
FC Barcelona ,France,Extremo Derecho | Extremo Izquierdo,23,Sobresaliente,Ousmane Dembélé
Grêmio ,Brazil,Centrocampista Ofensivo Central | Extremo Derecho,28,Muy Bueno,Ronaldo Cabrais
Grêmio ,Brazil,Defensor Central,28,Muy Bueno,Josué Chiamulera
Atlético Mineiro ,Brazil,Segundo Delantero | Delantero Centro,28,Muy Bueno,Louri Beretta
Real Sociedad ,Spain,Extremo Derecho | Extremo Izquierdo,23,Muy Bueno,Oyarzabal
Napoli ,Spain,Mediocampista Central,24,Muy Bueno,Fabián
Ajax ,Netherlands,Mediocampista Central | Centrocampista Ofensivo Central,23,Muy Bueno,Donny van de Beek
Roma ,Spain,Arquero,25,Muy Bueno,Pau López
Getafe CF ,Togo,Defensor Central,28,Muy Bueno,Dakonam Djené
SL Benfica ,Portugal,Mediocampista Derecho | Mediocampista Izquierdo,27,Muy Bueno,Rafa
TSG 1899 Hoffenheim ,Croatia,Segundo Delantero | Centrocampista Ofensivo Central,29,Muy Bueno,Andrej Kramaric
Inter ,Croatia,Mediocampista Defensivo Central | Mediocampista Central,27,Muy Bueno,Marcelo Brozovic
Atalanta ,Colombia,Segundo Delantero,29,Muy Bueno,Duván Zapata
Guangzhou Evergrande Taobao FC ,Brazil,Centrocampista Ofensivo Central | Extremo Derecho,26,Muy Bueno,Anderson Talisca
Lazio ,lbania,Arquero,25,Muy Bueno,Thomas Strakosha
Manchester United ,France,Segundo Delantero,24,Muy Bueno,Anthony Martial
Ajax ,Argentina,Defensor Lateral Izquierdo,27,Muy Bueno,Nicolás Tagliafico
Tottenham Hotspur ,England,Mediocampista Central | Centrocampista Ofensivo Central,24,Muy Bueno,Dele Alli
Milan ,Italy,Defensor Central,25,Muy Bueno,Alessio Romagnoli
SL Benfica ,Spain,Defensor Lateral Izquierdo,24,Muy Bueno,Grimaldo
Borussia Dortmund ,Portugal,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Mediocampista Central,26,Muy Bueno,Raphaël Guerreiro
Ajax ,Netherlands,Centrocampista Ofensivo Central | Extremo Izquierdo,28,Muy Bueno,Quincy Promes
Eintracht Frankfurt ,Serbia,Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,27,Muy Bueno,Filip Kostic
Atlético Madrid ,Belgium,Mediocampista Izquierdo,26,Muy Bueno,Yannick Carrasco
Chelsea ,Spain,Arquero,25,Muy Bueno,Kepa
Medipol Basaksehir FK ,Bosnia & Herzegovina,Mediocampista Derecho,30,Muy Bueno,Edin Višca
Napoli ,Poland,Segundo Delantero,26,Muy Bueno,Arkadiusz Milik
Real Sociedad ,Spain,Mediocampista Derecho | Delantero Centro | Extremo Derecho,28,Muy Bueno,Portu
Olympique de Marseille ,France,Mediocampista Derecho | Extremo Derecho,27,Muy Bueno,Florian Thauvin
RB Leipzig ,Austria,Mediocampista Central | Centrocampista Ofensivo Central,26,Muy Bueno,Marcel Sabitzer
Wolverhampton Wanderers ,Mexico,Segundo Delantero,29,Muy Bueno,Raúl Jiménez
Atlético Madrid ,Montenegro,Defensor Central,29,Muy Bueno,Stefan Savic
Borussia Dortmund ,Belgium,Mediocampista Derecho | Mediocampista Izquierdo | Delantero Centro,27,Muy Bueno,Thorgan Hazard
Manchester United ,England,Defensor Central,27,Muy Bueno,Harry Maguire
Valencia CF ,Brazil,Defensor Central,29,Muy Bueno,Gabriel Paulista
Atlético Madrid ,Spain,Segundo Delantero,27,Muy Bueno,Morata
Everton ,France,Defensor Lateral Izquierdo,27,Muy Bueno,Lucas Digne
Ajax ,Serbia,Centrocampista Ofensivo Central | Delantero Centro | Extremo Izquierdo,31,Muy Bueno,Dušan Tadic
Bayer 04 Leverkusen ,Chile,Mediocampista Defensivo Central | Mediocampista Central,31,Muy Bueno,Charles Aránguiz
Paris Saint-Germain ,Spain,Centrocampista Ofensivo Central | Extremo Derecho,28,Muy Bueno,Pablo Sarabia
Crystal Palace ,Ivory Coast,Mediocampista Izquierdo | Delantero Centro,27,Muy Bueno,Wilfried Zaha
Valencia CF ,Spain,Segundo Delantero,29,Muy Bueno,Rodrigo
Real Betis ,Spain,Defensor Central | Mediocampista Defensivo Central,29,Muy Bueno,Bartra
FC Bayern München ,Austria,Defensor Lateral Izquierdo | Defensor Central,28,Muy Bueno,David Alaba
Liverpool ,Cameroon,Defensor Central,28,Muy Bueno,Joel Matip
Juventus ,Colombia,Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,32,Muy Bueno,Juan Cuadrado
VfL Wolfsburg ,Belgium,Arquero,28,Muy Bueno,Koen Casteels
Bayer 04 Leverkusen ,Finland,Arquero,30,Muy Bueno,Lukáš Hrádecky
Ajax ,Netherlands,Defensor Lateral Izquierdo | Defensor Central | Mediocampista Defensivo Central,30,Muy Bueno,Daley Blind
Athletic Club ,Spain,Centrocampista Ofensivo Central | Extremo Derecho | Extremo Izquierdo,27,Muy Bueno,Muniain
Eintracht Frankfurt ,Germany,Arquero,30,Muy Bueno,Kevin Trapp
Manchester City ,England,Defensor Lateral Derecho,30,Muy Bueno,Kyle Walker
Juventus ,Wales,Mediocampista Central | Centrocampista Ofensivo Central,29,Muy Bueno,Aaron Ramsey
Shanghai SIPG FC ,Austria,Segundo Delantero,31,Muy Bueno,Marko Arnautovic
Fenerbahçe SK ,Germany,Segundo Delantero | Centrocampista Ofensivo Central,32,Muy Bueno,Max Kruse
FC Bayern München ,Croatia,Mediocampista Izquierdo | Extremo Izquierdo,31,Muy Bueno,Ivan Perišic
Juventus ,Germany,Mediocampista Defensivo Central | Mediocampista Central,33,Muy Bueno,Sami Khedira
Wolverhampton Wanderers ,Portugal,Arquero,32,Muy Bueno,Rui Patrício
Arsenal ,Germany,Centrocampista Ofensivo Central | Extremo Derecho,31,Muy Bueno,Mesut Özil
Dalian YiFang FC ,Slovakia,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,33,Muy Bueno,Marek Hamšík
Valencia CF ,Argentina,Defensor Central,33,Muy Bueno,Ezequiel Garay
LAFC ,Mexico,Centrocampista Ofensivo Central | Extremo Derecho | Extremo Izquierdo,31,Muy Bueno,Carlos Vela
Olympique de Marseille ,France,Arquero,35,Muy Bueno,Steve Mandanda
Leicester City ,Denmark,Arquero,33,Muy Bueno,Kasper Schmeichel
Villarreal CF ,Spain,Defensor Central,34,Muy Bueno,Raúl Albiol
Villarreal CF ,Spain,Mediocampista Defensivo Central | Mediocampista Izquierdo | Mediocampista Central,35,Muy Bueno,Santi Cazorla
Juventus ,Italy,Arquero,42,Muy Bueno,Gianluigi Buffon
Free Agents ,Uruguay,Mediocampista Derecho | Centrocampista Ofensivo Central,28,Muy Bueno,José María Sildero
Free Agents ,Uruguay,Defensor Central,28,Muy Bueno,Egidio Maestre Schetino
SL Benfica ,Portugal,Defensor Central,23,Muy Bueno,Rúben Dias
Real Madrid ,Uruguay,Mediocampista Defensivo Central | Mediocampista Central,22,Sobresaliente,Federico Valverde
SV Werder Bremen ,Czech Republic,Arquero,28,Muy Bueno,Jirí Pavlenka
Borussia Dortmund ,Morocco,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Derecho,21,Muy Bueno,Achraf Hakimi
Real Madrid ,Serbia,Segundo Delantero,22,Muy Bueno,Luka Jovic
Manchester City ,Brazil,Segundo Delantero,23,Muy Bueno,Gabriel Jesus
Flamengo ,Brazil,Segundo Delantero,28,Muy Bueno,Oswaldinato
Palmeiras ,Brazil,Segundo Delantero | Centrocampista Ofensivo Central | Delantero Centro,24,Muy Bueno,Nuno Padrenda
Atlético Mineiro ,Brazil,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,20,Muy Bueno,Rosberto Dourado
Cruzeiro ,Brazil,Defensor Central | Mediocampista Defensivo Central,24,Muy Bueno,Juiano Mestres
Grêmio ,Brazil,Arquero,32,Muy Bueno,Raphaelito Anjos
Manchester United ,England,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,22,Muy Bueno,Aaron Wan-Bissaka
Borussia Mönchengladbach ,Switzerland,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,23,Muy Bueno,Denis Zakaria
FC Barcelona ,Portugal,Defensor Lateral Derecho,26,Muy Bueno,Nélson Semedo
Tottenham Hotspur ,Argentina,Mediocampista Central | Centrocampista Ofensivo Central,24,Muy Bueno,Giovani Lo Celso
Arsenal ,Ivory Coast,Mediocampista Derecho | Extremo Derecho,25,Muy Bueno,Nicolas Pépé
Tottenham Hotspur ,Netherlands,Centrocampista Ofensivo Central | Extremo Derecho | Extremo Izquierdo,22,Muy Bueno,Steven Bergwijn
Paris Saint-Germain ,France,Defensor Central,24,Muy Bueno,Presnel Kimpembe
Liverpool ,England,Defensor Lateral Derecho | Defensor Central,23,Muy Bueno,Joe Gomez
Valencia CF ,Portugal,Segundo Delantero | Mediocampista Izquierdo,23,Muy Bueno,Gonçalo Guedes
Sporting CP ,Argentina,Defensor Lateral Izquierdo | Extremo Izquierdo,28,Muy Bueno,Marcos Acuña
Wolverhampton Wanderers ,Portugal,Mediocampista Central,23,Muy Bueno,Rúben Neves
Getafe CF ,Spain,Arquero,27,Muy Bueno,David Soria
Real Sociedad ,Norway,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,21,Muy Bueno,Martin Ødegaard
Liverpool ,Guinea,Mediocampista Defensivo Central | Mediocampista Central,25,Muy Bueno,Naby Keïta
Real Madrid ,Spain,Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Marco Asensio
Tottenham Hotspur ,Colombia,Defensor Central,24,Muy Bueno,Davinson Sánchez
Leicester City ,England,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Izquierdo,23,Muy Bueno,James Maddison
Newcastle United ,Slovakia,Arquero,31,Muy Bueno,Martin Dúbravka
FC Bayern München ,France,Mediocampista Defensivo Central | Mediocampista Central,25,Muy Bueno,Corentin Tolisso
Napoli ,Italy,Segundo Delantero | Mediocampista Derecho | Extremo Derecho,26,Muy Bueno,Matteo Politano
Athletic Club ,Spain,Segundo Delantero | Extremo Derecho,26,Muy Bueno,Iñaki Williams
LOSC Lille ,France,Arquero,25,Muy Bueno,Mike Maignan
Atlético Madrid ,Argentina,Segundo Delantero | Mediocampista Derecho,25,Muy Bueno,Ángel Correa
Atlético Madrid ,France,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,24,Muy Bueno,Thomas Lemar
Olympique Lyonnais ,France,Segundo Delantero,24,Muy Bueno,Moussa Dembélé
Manchester City ,Portugal,Defensor Lateral Derecho,26,Muy Bueno,João Cancelo
Juventus ,France,Mediocampista Defensivo Central | Mediocampista Central,25,Muy Bueno,Adrien Rabiot
D. Alavés ,Spain,Arquero,28,Muy Bueno,Pacheco
Torino ,Italy,Segundo Delantero,26,Muy Bueno,Andrea Belotti
Borussia Dortmund ,Germany,Mediocampista Defensivo Central | Mediocampista Central,26,Muy Bueno,Emre Can
Villarreal CF ,Spain,Segundo Delantero | Mediocampista Derecho,28,Muy Bueno,Gerard Moreno
Atlanta United ,Venezuela,Segundo Delantero,27,Muy Bueno,Josef Martínez
Borussia Mönchengladbach ,Germany,Defensor Central,26,Muy Bueno,Matthias Ginter
Real Betis ,Portugal,Mediocampista Defensivo Central | Mediocampista Central,28,Muy Bueno,William Carvalho
West Ham United ,France,Segundo Delantero,26,Muy Bueno,Sébastien Haller
Chelsea ,Germany,Defensor Central,27,Muy Bueno,Antonio Rüdiger
Bayer 04 Leverkusen ,Germany,Mediocampista Derecho,30,Muy Bueno,Karim Bellarabi
Paris Saint-Germain ,Germany,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Izquierdo,26,Muy Bueno,Julian Draxler
West Ham United ,Brazil,Mediocampista Izquierdo | Centrocampista Ofensivo Central,27,Muy Bueno,Felipe Anderson
Tottenham Hotspur ,Brazil,Mediocampista Derecho | Delantero Centro,27,Muy Bueno,Lucas Moura
FC Porto ,Portugal,Mediocampista Defensivo Central | Mediocampista Central,28,Muy Bueno,Danilo Pereira
Real Madrid ,Spain,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Defensor Central,30,Muy Bueno,Nacho Fernández
Bayer 04 Leverkusen ,Germany,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,27,Muy Bueno,Kevin Volland
Villarreal CF ,Spain,Segundo Delantero,26,Muy Bueno,Paco Alcácer
Valencia CF ,Netherlands,Arquero,31,Muy Bueno,Jasper Cillessen
FC Barcelona ,Spain,Defensor Lateral Derecho | Mediocampista Central,28,Muy Bueno,Sergi Roberto
